4.523357,1.580364,0.715756,0.240697,4.652415,0.365796,0.881235,5.406176,1.977039
3.703893,1.382259,0.707084,0.260370,4.331844,0.289087,1.315252,5.186343,1.956605
2.145251,0.858035,0.512652,0.168255,3.487019,0.153138,1.451857,4.534998,0.907657
1.930293,0.787005,0.480207,0.152754,3.300775,0.150602,1.529690,4.731067,0.745267
1.681159,0.669565,0.446377,0.104348,3.186957,0.185507,1.343478,4.330435,0.688406
1.718750,0.743056,0.284722,0.097222,3.288194,0.194444,1.291667,4.336806,0.809028
1.755102,0.489796,0.142857,0.122449,3.010204,0.285714,1.102041,4.214286,0.979592
3.377766,1.063304,0.667524,0.220278,3.630983,0.297478,1.308286,4.817293,1.272774
2.913089,1.045026,0.614869,0.203560,3.514346,0.148482,1.266806,4.800628,1.146178
2.248804,0.817384,0.566986,0.172249,3.492026,0.173046,1.297448,4.452951,0.936204
2.179245,0.686321,0.500000,0.146226,3.033019,0.183962,1.061321,4.556604,0.806604
1.957143,0.500000,0.400000,0.028571,2.900000,0.214286,1.157143,4.085714,0.707143
1.718750,0.743056,0.284722,0.097222,3.288194,0.194444,1.291667,4.336806,0.809028
1.755102,0.489796,0.142857,0.122449,3.010204,0.285714,1.102041,4.214286,0.979592
3.808372,1.261395,0.682481,0.226977,4.030078,0.324341,1.151938,5.046512,1.541705
2.084130,0.892925,0.543021,0.152964,3.267686,0.143403,1.479924,4.778203,0.818356
2.072666,0.886529,0.474567,0.165456,3.483510,0.139184,1.560089,4.592510,0.887647
1.874737,0.809474,0.475789,0.154211,3.360526,0.143158,1.634211,4.770000,0.731579
1.610909,0.712727,0.458182,0.123636,3.260000,0.178182,1.390909,4.392727,0.683636
1.731061,0.750000,0.295455,0.106061,3.484848,0.159091,1.276515,4.428030,0.761364
1.809524,0.571429,0.166667,0.142857,3.071429,0.261905,1.166667,4.345238,1.023810
