8,4,2,0,4,0,13,2,2
6,4,4,0,2,0,2,4,2
2,0,0,0,4,0,2,8,0
2,0,0,0,4,0,4,2,0
8,0,0,0,6,0,4,2,0
6,0,0,0,4,0,2,8,2
6,2,4,0,2,0,0,6,0
6,2,0,0,4,0,0,4,0
2,2,0,0,6,0,0,7,4
2,0,0,0,6,0,0,7,0
2,0,0,0,6,0,2,6,0
2,0,0,2,2,0,2,6,0
4,0,0,0,4,0,0,6,2
2,0,0,0,4,0,0,6,0
6,0,4,0,2,0,2,10,0
4,6,4,0,4,0,0,6,2
2,0,0,0,2,0,0,6,2
4,0,0,0,2,0,0,6,0
2,0,0,0,6,0,6,6,2
4,2,0,0,4,0,4,4,0
4,0,0,0,0,0,4,8,0
4,4,0,0,2,2,4,6,2
8,0,2,0,4,0,2,6,0
6,2,4,0,2,0,0,6,6
4,0,0,0,2,0,0,6,4
12,2,0,0,2,0,0,4,2
2,0,0,0,2,0,4,7,0
0,0,0,0,2,0,6,4,0
4,0,0,0,4,0,6,6,0
2,0,0,0,4,0,2,6,0
4,0,2,0,2,0,0,10,2
6,0,0,0,2,0,0,6,0
0,0,0,0,2,0,2,2,0
0,0,0,0,4,0,0,4,0
4,0,0,0,6,0,0,6,0
2,0,0,0,0,0,0,4,2
6,2,0,0,14,0,0,3,4
10,0,0,0,11,0,0,4,0
4,2,0,2,2,0,0,6,4
4,0,0,0,2,0,0,4,2
8,4,4,2,2,0,6,8,2
10,4,4,2,4,0,6,2,4
0,2,0,2,4,0,0,6,0
2,0,0,0,4,0,0,4,0
2,0,0,0,4,0,0,6,0
4,0,0,0,4,0,0,8,0
2,0,0,0,6,2,0,5,0
6,0,0,0,10,0,0,4,2
6,0,4,2,0,2,4,5,2
0,6,0,0,7,0,8,6,2
2,0,2,0,2,0,4,8,2
6,2,0,0,0,0,2,4,0
6,0,2,2,6,2,0,8,4
4,4,2,0,2,0,0,8,4
0,0,0,0,4,0,4,6,0
4,0,0,2,2,0,2,8,0
0,0,0,0,0,2,2,2,0
0,0,0,0,0,0,2,3,0
0,0,0,0,10,0,0,8,0
0,4,0,0,4,0,0,10,0
8,0,0,0,4,0,0,6,2
10,0,0,0,4,0,0,4,2
0,0,0,0,2,0,0,4,0
4,0,0,0,4,0,2,6,2
2,0,0,0,2,0,10,2,0
4,0,0,0,0,0,4,2,0
0,0,0,0,0,0,8,6,0
0,0,0,0,0,0,2,4,0
4,2,10,4,2,0,2,10,2
10,2,0,0,2,2,2,9,2
0,6,0,0,8,0,0,6,2
0,4,0,0,2,0,2,8,2
4,0,0,0,5,0,0,6,2
4,0,2,0,7,0,0,6,2
0,2,0,0,2,0,0,2,0
0,2,0,0,0,0,0,2,0
0,0,0,0,4,0,0,0,0
0,0,0,0,4,0,0,0,0
0,0,0,0,2,0,0,6,0
0,0,0,0,4,0,2,4,2
4,0,4,2,2,0,0,7,2
4,0,4,2,2,0,0,2,0
2,2,0,0,2,0,2,6,0
2,0,0,0,0,2,0,6,0
2,0,2,0,2,0,2,4,6
6,0,0,0,6,0,0,2,0
0,0,0,0,4,0,0,2,0
0,0,0,0,4,0,0,2,0
2,0,0,0,4,0,0,6,0
0,0,0,0,3,0,0,6,0
6,0,6,0,2,0,0,8,4
10,0,0,0,4,0,0,4,2
4,2,0,0,4,2,8,4,2
0,0,0,0,8,0,0,5,0
4,6,0,0,2,0,2,6,2
4,0,0,0,4,0,0,2,0
2,0,0,0,8,0,4,8,0
0,0,0,0,6,0,0,6,0
4,0,0,0,6,0,0,6,2
4,0,0,0,8,0,0,6,2
0,2,0,0,4,0,0,8,0
2,0,0,0,10,0,0,10,0
0,0,0,0,0,0,4,4,0
2,2,0,0,4,0,2,6,4
4,6,0,0,2,0,2,2,6
0,0,0,0,2,0,0,4,0
0,0,0,0,2,0,0,10,0
0,0,0,0,6,0,0,8,0
8,2,0,0,4,0,0,6,6
6,2,2,0,2,0,4,8,8
6,2,4,0,0,0,0,4,4
4,2,0,0,2,0,0,6,2
6,0,0,0,6,0,0,12,0
8,0,0,0,6,0,2,8,2
2,2,0,0,2,0,2,8,0
12,0,0,2,4,0,2,2,0
0,0,2,0,4,0,6,2,0
0,0,0,0,0,0,0,4,2
0,2,2,4,2,0,0,4,0
2,2,0,0,0,0,0,4,2
6,4,8,2,6,0,7,6,4
4,0,0,0,2,0,6,8,0
4,0,0,0,1,0,6,6,2
2,2,0,0,4,0,3,6,0
4,0,0,0,2,0,0,8,0
4,0,0,0,4,0,0,2,0
0,4,2,0,4,0,0,4,0
2,0,0,0,2,0,2,4,2
0,0,0,0,10,0,2,8,0
0,0,0,0,2,0,0,2,0
0,0,0,0,10,0,2,6,2
0,0,0,0,2,0,0,6,0
2,0,0,0,6,0,0,4,0
4,0,0,0,6,0,2,2,2
0,0,0,0,2,0,0,2,0
0,0,0,0,8,0,0,2,0
0,0,0,0,4,0,0,7,0
2,0,0,0,4,0,0,0,0
4,2,0,0,4,1,0,2,2
2,0,0,0,2,1,2,4,0
0,0,0,0,0,0,0,4,0
0,0,0,0,2,0,0,4,0
0,0,0,0,0,0,3,4,0
8,0,0,0,6,0,4,4,0
4,0,0,0,2,0,0,6,2
0,0,0,0,0,0,0,4,0
2,4,0,0,6,0,2,4,0
4,0,0,0,4,0,0,0,2
2,0,4,0,6,0,4,6,0
2,0,0,0,8,0,0,4,0
0,0,0,0,4,0,6,0,0
0,0,0,0,4,0,4,2,0
0,0,2,0,10,0,4,4,0
0,0,0,0,8,0,8,2,0
2,0,0,0,4,0,0,8,0
0,0,0,0,2,0,0,4,0
4,0,0,0,4,0,4,4,2
6,0,0,2,6,0,2,6,0
2,0,0,0,4,0,2,4,0
8,0,0,0,6,0,0,6,4
6,0,4,2,4,0,0,6,6
0,0,0,0,4,0,0,10,0
2,0,0,0,4,0,0,6,0
4,0,0,0,8,0,0,4,2
2,0,0,0,2,0,0,2,0
0,2,0,0,2,0,0,5,0
6,4,4,0,5,0,4,6,4
2,0,0,0,4,0,2,6,4
0,0,0,0,0,0,0,6,0
0,0,0,0,4,0,0,4,0
0,0,0,0,0,0,2,2,0
4,0,0,0,4,0,0,0,0
4,0,0,0,0,0,0,0,0
0,2,0,0,2,0,0,2,0
6,0,2,0,12,2,0,8,0
4,0,0,0,12,0,0,6,0
2,4,0,0,4,0,5,0,0
0,2,0,0,0,0,6,4,0
4,0,0,0,5,4,0,6,0
2,0,0,0,3,0,0,4,0
4,0,2,0,5,0,0,4,4
2,0,0,0,2,2,0,12,0
2,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,2,2,4
6,4,0,2,0,0,0,4,4
0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,6,0
0,0,0,0,2,0,0,2,0
